PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\28-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 28-007-2026 12'20'52.isi
28/07/2026 12:20:52
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
18147 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
9,905	1785234062,411	28/07/2026_12:21:02,411	1	2	3,204131417e-06	2,735260523e-06	3,568223625e-12	8,757989126e-12	1,144844289e-11	2,310231693e-11	1,383177184e-10	1,742292699e-10	1,931989941e-12	1,415411706e-13	3,642809145e-12	6,768783125e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	2,990393577e-14	7,509087102e-12	2,05741877e-13	5,681981036e-14	4,999999912e-15	4,999999912e-15	3,414075619e-11	6,976086375e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,692514715e-08	11,99933056	57,92328895	0	30,51394482	0,2510510927	0,05452467822	0
10,713	1785234063,219	28/07/2026_12:21:03,219	1	2	3,193656084e-06	2,762656777e-06	3,457634352e-12	8,622750083e-12	1,140461597e-11	2,322555689e-11	1,388667931e-10	1,751115503e-10	1,917577642e-12	4,999999912e-15	3,486987175e-12	6,345564265e-13	2,887169399e-14	8,211358975e-14	6,932311441e-14	1,903048235e-14	7,364750303e-12	6,035115848e-14	4,999999912e-15	1,614331295e-14	8,664613758e-14	3,385908914e-11	6,915398115e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,978111918e-08	11,9094809	58,27800163	0	30,28531104	0,2435418307	0	0
11,521	1785234064,027	28/07/2026_12:21:04,027	1	2	3,192734766e-06	2,821517228e-06	3,587782198e-12	8,803718171e-12	1,149920003e-11	2,324897219e-11	1,385511567e-10	1,76192852e-10	1,908597629e-12	1,086336424e-13	3,576729624e-12	7,150635336e-13	1,074927246e-14	4,999999912e-15	4,999999912e-15	1,236360461e-14	7,441578603e-12	2,045311484e-13	8,941687722e-14	9,880018455e-15	4,999999912e-15	3,369019647e-11	7,016977971e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,936313874e-08	11,78349208	58,07201956	0	30,58374707	0,2512143251	0,03727834305	0
12,329	1785234064,835	28/07/2026_12:21:04,835	1	2	3,194472583e-06	2,771141681e-06	3,534702695e-12	8,645567769e-12	1,143378274e-11	2,334216327e-11	1,389342252e-10	1,756105678e-10	1,991076141e-12	5,023054455e-14	3,429383513e-12	6,078268314e-13	4,999999912e-15	4,461142623e-14	8,028194537e-14	7,922642035e-14	7,424713622e-12	6,345564265e-14	4,999999912e-15	4,999999912e-15	6,603236431e-14	3,35595475e-11	7,028556903e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,115380194e-08	11,74797274	58,09038997	0	30,64123682	0,247804411	0,02245477057	0
13,137	1785234065,643	28/07/2026_12:21:05,643	1	2	3,200593028e-06	2,805336635e-06	3,584890848e-12	8,787725755e-12	1,159386736e-11	2,338378276e-11	1,388987952e-10	1,758038437e-10	1,871014194e-12	8,32971726e-14	3,532238954e-12	7,450799418e-13	5,138308195e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,414239361e-12	1,706573386e-13	9,916108326e-14	6,231086746e-14	1,326002296e-14	3,3281395e-11	7,010921704e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,392683086e-08	11,66948474	58,20562327	0	30,61369391	0,2516374553	0,02344800052	0
13,945	1785234066,451	28/07/2026_12:21:06,451	1	2	3,193185421e-06	2,781783678e-06	3,632699827e-12	8,680434843e-12	1,142548122e-11	2,327836882e-11	1,390485782e-10	1,75764972e-10	2,014875896e-12	1,220721657e-13	3,457374144e-12	5,921841793e-13	4,999999912e-15	1,617823781e-14	6,988580857e-14	1,019861618e-13	7,482678539e-12	1,025449731e-13	4,999999912e-15	4,999999912e-15	3,176274619e-14	3,315060379e-11	7,043845368e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,024353423e-08	11,60628701	58,13179887	0	30,70679469	0,2546567734	0,05346949258	0
14,753	1785234067,259	28/07/2026_12:21:07,259	1	2	3,191432825e-06	2,764774763e-06	3,566531835e-12	8,721666618e-12	1,154867087e-11	2,341731323e-11	1,392212873e-10	1,76407014e-10	1,863101687e-12	4,086276673e-14	3,48024257e-12	7,206826282e-13	7,432909269e-14	2,763766524e-14	4,999999912e-15	4,999999912e-15	7,408702991e-12	1,181954518e-13	7,17523778e-14	7,802343027e-14	6,877206866e-14	3,331414658e-11	7,037322808e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,673708144e-08	11,64476561	58,20177436	0	30,63979634	0,2496116998	0,005043145602	0
15,561	1785234068,067	28/07/2026_12:21:08,067	1	2	3,209579972e-06	2,774332188e-06	3,722314557e-12	8,770950112e-12	1,176497528e-11	2,4100286e-11	1,453977494e-10	1,856345772e-10	2,1559319e-12	1,616737478e-13	3,143638778e-12	5,467228775e-13	4,999999912e-15	4,999999912e-15	3,606633763e-14	8,368911846e-14	6,976651895e-12	1,493799794e-13	4,999999912e-15	4,999999912e-15	6,728967799e-15	3,23047214e-11	6,747673253e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,149387538e-08	11,11148436	60,27911429	0	28,98237602	0,2565230931	0,07144684914	0,03797110285
16,369	1785234068,875	28/07/2026_12:21:08,875	1	2	3,157282208e-06	2,830176527e-06	3,450668353e-12	8,348162439e-12	1,102577925e-11	2,21647891e-11	1,309826692e-10	1,63394534e-10	1,684729504e-12	4,999999912e-15	3,874632386e-12	6,190533654e-13	7,176401942e-14	7,22607331e-14	1,932929355e-14	4,999999912e-15	6,504672669e-12	7,061536143e-14	4,5065463e-14	7,046014434e-14	1,114703761e-13	8,586440586e-11	5,995639402e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,987984804e-08	27,13606266	49,47664409	0	23,71058847	0,2195680588	0	0
17,177	1785234069,683	28/07/2026_12:21:09,683	1	2	2,756669119e-06	2,277362682e-06	2,18284375e-12	5,909078348e-12	4,15586749e-12	7,78544243e-12	4,287907529e-11	5,624901239e-11	5,492956892e-13	2,094478833e-13	1,50682973e-11	6,023823476e-13	4,999999912e-15	4,999999912e-15	1,669047929e-14	6,741774429e-14	6,848898185e-12	1,924663499e-13	3,360991498e-14	4,999999912e-15	4,999999912e-15	1,671599387e-10	6,531948593e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,534162612e-08	56,52342743	16,60476382	0	27,47515223	0,1479849493	0,07794219403	0
17,985	1785234070,491	28/07/2026_12:21:10,491	1	2	2,605711416e-06	1,797741334e-06	1,038624482e-12	5,142953771e-12	1,333534845e-12	2,580590255e-12	1,459832429e-11	2,562816799e-11	1,546382109e-13	4,200754192e-14	1,849794623e-11	6,254021281e-13	4,312515785e-14	1,020172174e-13	7,336283138e-14	4,999999912e-15	6,931865672e-12	2,471557437e-14	1,49054031e-14	5,532577299e-14	1,034452675e-13	1,816929662e-10	6,561454852e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,174374759e-08	65,1591395	6,094178457	0	29,32499566	0,07459684915	0,01238077672	0,02379985021
18,793	1785234071,299	28/07/2026_12:21:11,299	1	2	2,635116061e-06	1,743454277e-06	8,973781462e-13	5,185585468e-12	8,682892187e-13	1,542179362e-12	8,916104834e-12	1,926944715e-11	1,53543885e-13	1,883140996e-13	1,938085283e-11	6,853729823e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,753645345e-14	7,060553964e-12	1,708048037e-13	8,825659116e-14	9,402706918e-15	4,999999912e-15	1,848671771e-10	6,639425121e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,458445396e-08	66,86188945	3,758032812	0	29,93285047	0,06498245446	0,08105466146	0
19,601	1785234072,107	28/07/2026_12:21:12,107	1	2	2,629018127e-06	1,726166943e-06	6,795676218e-13	4,955248451e-12	5,812175285e-13	1,150145192e-12	6,681140016e-12	1,657890145e-11	1,251689046e-13	9,080225721e-14	1,953095324e-11	5,999065177e-13	1,713287105e-14	6,925715427e-14	1,045240961e-13	4,758785596e-14	6,97997736e-12	5,460011647e-15	4,999999912e-15	2,917826909e-14	8,254433649e-14	1,87286589e-10	6,679840014e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,268854806e-08	67,74059653	2,77311599	0	30,11051217	0,04921519872	0,04113578607	0,02631985349
