Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
5;0.00;104.99;0.00;104.97;0.00;0.00;59.01;17.22;32.11;180.00;456.58;179.93;460.78;455.25;80.19;0.06
10;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.22;32.11;180.01;456.29;179.89;459.15;453.72;80.19;0.06
15;0.00;105.03;0.00;104.98;0.00;0.00;58.98;17.20;32.12;180.02;455.95;179.83;458.17;452.79;80.19;0.06
20;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.19;32.12;180.00;455.19;179.78;457.18;451.90;80.19;0.06
25;0.00;104.97;0.00;104.99;0.00;0.00;59.01;17.22;32.12;179.99;454.77;179.72;455.25;450.10;80.19;0.06
30;0.00;104.98;0.00;104.96;0.00;0.00;59.00;17.22;32.12;179.97;454.34;179.71;454.31;449.19;80.19;0.06
35;0.00;104.97;0.00;104.99;0.00;0.00;59.00;17.22;32.13;179.98;453.92;179.71;453.35;448.30;80.19;0.06
40;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.22;32.12;179.99;452.98;179.73;452.42;447.44;80.19;0.06
45;0.00;105.00;0.00;104.98;0.00;0.00;58.99;17.20;32.11;180.01;452.49;179.83;450.54;445.68;80.19;0.06
50;0.00;104.98;0.00;104.99;0.00;0.00;58.97;17.20;32.12;180.02;451.99;179.89;449.66;444.86;80.19;0.05
55;0.00;104.99;0.00;104.99;0.00;0.00;59.02;17.22;32.13;180.02;451.49;179.95;448.86;444.07;80.19;0.05
60;0.00;104.95;0.00;104.97;0.00;0.00;59.02;17.22;32.13;180.00;450.52;180.05;448.27;443.44;80.19;0.05
65;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.19;32.12;179.99;450.05;180.07;448.11;443.00;80.19;0.05
70;0.00;105.00;0.00;105.00;0.00;0.00;58.98;17.22;32.13;179.97;449.59;180.10;448.67;443.31;80.19;0.05
75;0.00;105.01;0.00;104.99;0.00;0.00;59.00;17.20;32.12;180.00;449.19;180.12;449.71;444.04;80.19;0.05
80;0.00;104.98;0.00;104.99;0.00;0.00;58.98;17.19;32.12;180.00;448.55;180.10;451.21;445.18;80.19;0.05
85;0.00;104.98;0.00;104.99;0.00;0.00;58.98;17.22;32.13;180.01;448.34;180.07;455.63;448.74;80.19;0.05
90;0.00;105.01;0.00;104.97;0.00;0.00;59.01;17.22;32.13;180.00;448.21;180.02;458.48;451.19;80.19;0.05
95;0.00;105.00;0.00;104.99;0.00;0.00;58.99;17.20;32.13;180.00;448.18;179.98;461.63;453.89;80.19;0.05
100;0.00;105.01;0.00;105.00;0.00;0.00;58.99;17.22;32.13;179.99;448.43;179.86;464.88;456.73;80.19;0.05
105;0.00;105.00;0.00;104.98;0.00;0.00;58.98;17.22;32.14;179.99;448.68;179.82;471.67;462.72;80.19;0.05
110;0.00;105.01;0.00;104.99;0.00;0.00;59.01;17.20;32.13;179.99;449.05;179.79;474.76;465.64;80.19;0.05
115;0.00;105.00;0.00;104.99;0.00;0.00;59.02;17.20;32.13;179.98;450.02;179.77;477.57;468.25;80.19;0.05
120;0.00;104.98;0.00;104.96;0.00;0.00;58.98;17.20;32.13;179.98;450.59;179.76;481.60;470.55;80.19;0.05
125;0.00;104.98;0.00;104.98;0.00;0.00;58.99;17.22;32.14;179.97;451.17;179.79;482.75;473.70;80.19;0.05
130;0.00;104.98;0.00;104.99;0.00;0.00;58.99;17.22;32.14;179.98;451.83;179.81;483.42;474.55;80.19;0.05
135;0.00;104.99;0.00;104.99;0.00;0.00;59.02;17.20;32.14;180.01;453.17;179.86;483.69;475.02;80.19;0.05
140;0.00;104.98;0.00;104.99;0.00;0.00;58.99;17.23;32.14;180.02;453.82;179.96;483.37;475.18;80.19;0.05
145;0.00;104.98;0.00;105.00;0.00;0.00;59.00;17.22;32.15;180.01;454.45;180.02;482.90;474.81;80.19;0.05
150;0.00;104.98;0.00;104.97;0.00;0.00;59.01;17.22;32.16;179.99;455.02;180.06;482.28;474.38;80.19;0.05
155;0.00;104.98;0.00;104.99;0.00;0.00;59.02;17.22;32.15;179.96;456.08;180.09;481.58;473.82;80.19;0.05
160;0.00;104.99;0.00;104.99;0.00;0.00;59.02;17.19;32.15;179.95;456.54;180.11;479.91;472.47;80.19;0.05
165;0.00;105.01;0.00;105.00;0.00;0.00;59.02;17.23;32.15;179.96;456.94;180.11;478.99;471.68;80.19;0.04
170;0.00;104.97;0.00;104.99;0.00;0.00;58.99;17.23;32.14;180.00;457.28;180.09;478.05;470.88;80.19;0.04
175;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.22;32.15;180.01;457.84;180.02;477.06;470.02;80.19;0.04
180;0.00;105.00;0.00;104.97;0.00;0.00;59.00;17.17;32.15;180.02;458.04;179.97;475.05;468.25;80.19;0.04
185;0.00;104.99;0.00;105.01;0.00;0.00;59.01;17.22;32.16;180.02;458.20;179.91;474.04;467.32;80.19;0.04
190;0.00;105.01;0.00;104.99;0.00;0.00;59.01;17.20;32.16;179.96;458.31;179.86;472.98;466.41;80.19;0.04
195;0.00;105.02;0.00;104.98;0.00;0.00;58.99;17.20;32.16;179.95;458.41;179.80;471.96;465.46;80.19;0.04
200;0.00;105.00;0.00;105.00;0.00;0.00;58.98;17.22;32.16;179.96;458.40;179.79;469.85;463.58;80.19;0.04
205;0.00;104.99;0.00;105.00;0.00;0.00;59.02;17.22;32.16;179.96;458.35;179.79;468.82;462.62;80.19;0.04
210;0.00;104.99;0.00;104.97;0.00;0.00;58.98;17.23;32.15;180.00;458.27;179.80;467.77;461.69;80.19;0.04
215;0.00;104.98;0.00;105.01;0.00;0.00;59.01;17.20;32.16;180.00;458.00;179.85;466.72;460.73;80.19;0.04
220;0.00;105.00;0.00;104.99;0.00;0.00;58.99;17.20;32.16;179.99;457.81;179.90;464.66;458.84;80.19;0.04
225;0.00;105.02;0.00;104.99;0.00;0.00;59.00;17.20;32.17;179.97;457.59;179.95;463.66;457.89;80.19;0.04
230;0.00;105.00;0.00;104.98;0.00;0.00;59.00;17.19;32.17;179.95;457.08;180.00;462.63;456.95;80.19;0.04
235;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.22;32.17;179.95;456.81;180.08;460.63;456.04;80.19;0.04
240;0.00;104.98;0.00;104.98;0.00;0.00;58.99;17.19;32.18;179.97;456.49;180.10;459.62;454.17;80.19;0.04
245;0.00;105.01;0.00;104.99;0.00;0.00;59.01;17.20;32.17;180.00;456.14;180.10;458.62;453.24;80.19;0.04
250;0.00;104.98;0.00;104.98;0.00;0.00;58.98;17.22;32.16;179.99;455.39;180.09;457.65;452.35;80.19;0.04
255;0.00;104.99;0.00;104.99;0.00;0.00;59.02;17.19;32.19;179.98;454.99;180.05;455.72;451.43;80.19;0.04
260;0.00;104.98;0.00;104.98;0.00;0.00;58.98;17.20;32.18;179.96;454.59;180.02;454.76;449.64;80.19;0.04
265;0.00;105.00;0.00;104.99;0.00;0.00;59.02;17.20;32.18;179.95;454.16;179.98;453.81;448.75;80.19;0.04
270;0.00;105.00;0.00;104.97;0.00;0.00;59.01;17.20;32.18;179.97;453.23;179.94;452.86;447.89;80.19;0.04
275;0.00;105.00;0.00;104.99;0.00;0.00;59.00;17.20;32.18;179.99;452.75;179.86;451.00;447.00;80.19;0.04
280;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.17;32.18;180.01;452.25;179.84;450.08;445.27;80.19;0.03
285;0.00;105.01;0.00;104.97;0.00;0.00;59.01;17.17;32.18;180.01;451.78;179.83;449.23;444.45;80.19;0.03
290;0.00;105.00;0.00;104.98;0.00;0.00;59.02;17.20;32.18;180.00;450.77;179.83;448.52;443.74;80.19;0.03
295;0.00;104.99;0.00;105.01;0.00;0.00;59.01;17.22;32.19;179.97;450.29;179.86;447.99;443.00;80.19;0.03
300;0.00;104.98;0.00;104.97;0.00;0.00;59.00;17.22;32.18;179.95;449.83;179.88;448.33;443.12;80.19;0.03
305;0.00;104.99;0.00;105.00;0.00;0.00;59.01;17.22;32.17;179.95;449.42;179.91;449.14;443.65;80.19;0.03
310;0.00;104.99;0.00;104.97;0.00;0.00;59.00;17.20;32.17;179.97;448.71;179.98;450.44;444.61;80.19;0.03
315;0.00;105.01;0.00;104.99;0.00;0.00;59.01;17.20;32.20;179.99;448.45;180.02;454.41;447.77;80.19;0.03
320;0.00;104.99;0.00;105.00;0.00;0.00;59.01;17.20;32.20;180.00;448.28;180.06;456.98;449.97;80.19;0.03
325;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.20;32.19;180.01;448.20;180.08;459.96;452.43;80.19;0.03
330;0.00;105.01;0.00;104.99;0.00;0.00;58.99;17.23;32.18;180.00;448.34;180.10;463.11;455.22;80.19;0.03
335;0.00;104.97;0.00;105.01;0.00;0.00;59.02;17.22;32.20;179.98;448.55;180.10;469.80;461.16;80.19;0.03
340;0.00;104.98;0.00;105.00;0.00;0.00;58.99;17.20;32.20;179.97;448.87;180.08;473.08;464.13;80.19;0.03
345;0.00;105.03;0.00;104.99;0.00;0.00;58.99;17.22;32.19;179.96;449.29;180.05;476.10;466.94;80.19;0.03
350;0.00;105.02;0.00;104.99;0.00;0.00;58.99;17.22;32.19;179.97;450.28;179.98;480.63;469.38;80.19;0.03
355;0.00;104.98;0.00;104.99;0.00;0.00;59.01;17.22;32.19;179.98;450.87;179.94;482.10;472.99;80.19;0.03
360;0.00;104.99;0.00;104.97;0.00;0.00;58.98;17.22;32.18;179.98;451.51;179.88;483.01;474.08;80.19;0.03
365;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.23;32.20;179.99;452.79;179.84;483.46;474.72;80.19;0.03
370;0.00;104.97;0.00;105.00;0.00;0.00;58.99;17.20;32.20;179.98;453.45;179.78;483.40;475.03;80.19;0.03
375;0.00;105.02;0.00;104.99;0.00;0.00;59.01;17.20;32.18;179.98;454.09;179.79;483.01;474.87;80.19;0.03
380;0.00;104.99;0.00;105.30;0.00;0.00;59.27;17.31;32.17;179.97;454.69;179.80;482.48;474.50;80.19;0.03
385;0.00;104.98;0.00;105.18;0.00;0.00;59.17;17.28;32.19;179.97;455.80;179.83;481.81;474.01;80.19;0.16
390;0.00;105.30;0.00;104.93;0.00;0.00;59.15;17.27;32.19;179.98;456.26;179.98;480.21;473.41;80.19;0.34
395;0.00;105.17;0.00;104.99;0.00;0.00;59.20;17.28;32.20;179.98;456.71;180.06;479.31;471.98;80.19;0.60
400;0.00;104.55;0.00;104.99;0.00;0.00;58.53;17.00;32.20;179.98;457.10;180.16;478.39;471.19;80.19;0.70
405;0.00;104.89;0.00;104.97;0.00;0.00;58.84;17.14;32.21;179.96;457.07;180.23;477.41;470.34;80.19;0.38
410;0.00;104.99;0.00;104.94;0.00;0.00;58.95;17.19;32.21;179.96;456.92;180.35;475.42;468.59;80.19;0.24
415;0.00;104.99;0.00;104.97;0.00;0.00;58.98;17.22;32.21;179.96;456.82;180.38;474.41;467.70;80.19;0.16
