Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
230;0.00;104.98;0.00;105.00;0.00;0.00;59.01;17.23;32.01;180.05;458.51;180.31;457.65;452.69;80.49;0.03
235;0.00;105.01;0.00;104.97;0.00;0.00;58.99;17.23;32.00;180.04;457.98;180.21;455.80;451.82;80.49;0.03
240;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.22;32.01;180.04;457.49;180.18;455.01;450.19;80.49;0.03
245;0.00;104.99;0.00;105.00;0.00;0.00;59.01;17.23;32.01;180.04;456.96;180.16;454.43;449.56;80.49;0.03
250;0.00;104.99;0.00;104.92;0.00;0.00;59.00;17.17;32.01;180.04;455.97;180.16;454.17;449.20;80.49;0.03
255;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.22;32.01;180.06;455.49;180.18;454.86;449.45;80.49;0.02
260;0.00;104.97;0.00;105.00;0.00;0.00;58.99;17.22;32.01;180.07;455.08;180.22;455.91;450.20;80.49;0.02
265;0.00;105.02;0.00;104.97;0.00;0.00;59.02;17.22;31.99;180.08;454.70;180.27;457.46;451.38;80.49;0.02
270;0.00;104.99;0.00;104.99;0.00;0.00;59.00;17.20;31.99;180.07;454.15;180.38;462.03;452.99;80.49;0.02
275;0.00;105.00;0.00;105.31;0.00;0.00;59.27;17.34;32.00;180.05;453.99;180.43;464.89;457.47;80.49;0.02
280;0.00;105.25;0.00;104.93;0.00;0.00;59.17;17.27;31.99;180.04;453.94;180.48;468.07;460.18;80.49;0.19
285;0.00;105.19;0.00;104.97;0.00;0.00;59.20;17.30;31.98;180.02;454.14;180.53;471.46;463.12;80.49;0.35
290;0.00;105.16;0.00;104.99;0.00;0.00;59.20;17.31;31.99;180.02;454.40;180.59;478.39;469.32;80.49;0.51
295;0.00;104.78;0.00;104.81;0.00;0.00;58.51;17.02;31.99;180.05;454.73;180.60;481.67;472.33;80.49;0.31
