PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\23-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 23-007-2026 12'41'57.isi
23/07/2026 12:41:57
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
17898 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
1,802	1784803318,953	23/07/2026_12:41:58,953	1	2	3,25068936e-06	2,699849574e-06	7,195009345e-12	8,917283578e-12	1,181195072e-11	2,404507496e-11	1,42337378e-10	1,81060944e-10	2,025237183e-12	1,913526033e-14	3,528241718e-12	6,149787168e-13	4,999999912e-15	5,117353617e-14	6,638550251e-14	5,884160346e-14	7,592803122e-12	3,071498337e-14	4,999999912e-15	4,999999912e-15	4,881412928e-14	3,464289272e-11	7,146442466e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,349235264e-08	11,78749537	58,09156958	0	30,31318074	0,4903000532	0,00750961924	0,005493878388
2,61	1784803319,761	23/07/2026_12:41:59,761	1	2	3,236038992e-06	2,68539884e-06	7,238424703e-12	9,05426862e-12	1,193411255e-11	2,400971609e-11	1,422717222e-10	1,809436351e-10	1,940329408e-12	6,085952055e-14	3,632847278e-12	7,50179053e-13	3,630305285e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,638345685e-12	1,706651178e-13	1,059055797e-13	5,409175102e-14	4,999999912e-15	3,447991892e-11	7,21909893e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,047125804e-08	11,71602291	57,94216832	0	30,56968404	0,4924232277	0,01555937384	0
3,418	1784803320,569	23/07/2026_12:42:00,569	1	2	3,229149797e-06	2,738409421e-06	7,312819621e-12	8,95740513e-12	1,181543838e-11	2,404629794e-11	1,427751667e-10	1,812699019e-10	2,068168119e-12	9,806288133e-14	3,524372851e-12	6,06639359e-13	4,999999912e-15	2,430034526e-14	8,434106278e-14	1,05265277e-13	7,693662547e-12	9,486525064e-14	4,999999912e-15	4,999999912e-15	4,339292191e-14	3,447997443e-11	7,187883622e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,502912422e-08	11,70193412	58,04340772	0	30,40133981	0,4970313522	0,04198569662	0
4,226	1784803321,377	23/07/2026_12:42:01,377	1	2	3,226218723e-06	2,748929091e-06	7,292529428e-12	9,037947474e-12	1,196035285e-11	2,41940825e-11	1,432910873e-10	1,811963496e-10	1,931892797e-12	5,911325032e-14	3,61360746e-12	7,463527951e-13	8,972346249e-14	3,527081107e-14	4,999999912e-15	4,999999912e-15	7,577830724e-12	1,692913659e-13	8,242792028e-14	1,024518334e-13	5,725055711e-14	3,417293185e-11	7,175619821e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,480893665e-08	11,62119957	58,22330772	0	30,387891	0,4964915231	0,01325706376	0
5,034	1784803322,185	23/07/2026_12:42:02,185	1	2	3,237448709e-06	2,702954816e-06	7,40855554e-12	9,027807148e-12	1,184924121e-11	2,416779797e-11	1,441139708e-10	1,819245032e-10	2,093710405e-12	1,550844956e-13	3,603234247e-12	6,241099217e-13	4,999999912e-15	4,999999912e-15	5,543055435e-14	1,063751341e-13	7,259725807e-12	1,508623955e-13	4,999999912e-15	4,999999912e-15	1,749376468e-14	3,082905459e-11	6,575638645e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,635767331e-08	10,81467319	60,44840453	0	28,71875919	0,5197566332	0,06693859422	0
5,842	1784803322,993	23/07/2026_12:42:02,993	1	2	3,260004178e-06	2,818269195e-06	7,565239234e-12	8,746929396e-12	1,199060295e-11	2,420146548e-11	1,421014001e-10	1,783556081e-10	1,879004331e-12	1,971347212e-14	3,397904137e-12	6,713135364e-13	7,460073954e-14	6,677744837e-14	9,03404684e-15	4,999999912e-15	7,076980928e-12	1,01578705e-13	5,557026058e-14	8,285866703e-14	8,416255567e-14	4,567032169e-11	6,36134756e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,274040276e-08	15,46903486	57,62495743	0	26,90830302	0,5145063735	0	0
6,65	1784803323,801	23/07/2026_12:42:03,801	1	2	2,96561052e-06	2,529540552e-06	6,022950801e-12	7,177476929e-12	7,486792436e-12	1,428595263e-11	7,999829965e-11	9,797281736e-11	9,799496284e-13	1,865988646e-13	1,133869561e-11	5,602235256e-13	4,999999912e-15	4,999999912e-15	1,973287426e-14	7,995985601e-14	6,793001925e-12	1,677546448e-13	2,473109371e-14	4,999999912e-15	4,999999912e-15	1,548236955e-10	6,504427552e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,878846436e-08	47,42437804	28,23960342	0	24,76732026	0,3704758312	0,05577383848	0
7,458	1784803324,609	23/07/2026_12:42:04,609	1	2	2,648409691e-06	1,855850769e-06	3,051428034e-12	5,393807796e-12	1,808610011e-12	3,474879455e-12	1,935536974e-11	3,124320247e-11	1,986714423e-13	4,232963128e-14	1,842677226e-11	6,250722596e-13	4,555829726e-14	8,206701649e-14	5,021502352e-14	4,999999912e-15	7,082289616e-12	3,447528789e-14	8,708076374e-15	5,462339633e-14	1,20655764e-13	1,824145834e-10	6,758298782e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,492247455e-08	63,39253188	7,817156597	0	29,2620085	0,2123922044	0,01000149139	0,01729832164
8,266	1784803325,417	23/07/2026_12:42:05,417	1	2	2,667466561e-06	1,721541139e-06	2,14621463e-12	5,385665872e-12	1,005658664e-12	1,8012756e-12	1,058943298e-11	2,133324246e-11	1,78872596e-13	1,960403682e-13	1,972419103e-11	6,759004164e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	3,398633642e-14	7,271996373e-12	1,817597451e-13	6,875655102e-14	4,999999912e-15	4,999999912e-15	1,908311842e-10	6,851023221e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,636336218e-08	66,46453653	4,270143672	0	29,74248649	0,1496840549	0,08146232276	0
9,074	1784803326,225	23/07/2026_12:42:06,225	1	2	2,690774181e-06	1,653000481e-06	1,632019281e-12	5,144618238e-12	6,538430279e-13	1,315346378e-12	7,507301204e-12	1,781008847e-11	1,176676757e-13	7,730940183e-14	1,999750886e-11	6,250334451e-13	3,468484384e-14	7,966881549e-14	8,413925887e-14	3,577141093e-14	7,145628707e-12	1,937973775e-14	4,999999912e-15	3,164244718e-14	8,926166691e-14	1,908994351e-10	6,790883827e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,981264218e-08	67,51759472	3,079703722	0	29,93642398	0,1155693682	0,03273894884	0,03233093012
