PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\28-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 28-007-2026 12'13'44.isi
28/07/2026 12:13:44
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
517 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
10,197	1785233634,453	28/07/2026_12:13:54,453	1	2	2,732730081e-06	1,756197776e-06	5,705889754e-12	5,609882784e-12	1,069669201e-12	3,121950181e-12	2,532004814e-11	5,074032514e-11	6,666451245e-13	1,344124871e-13	1,579600686e-11	6,808016065e-13	1,274778148e-14	4,267499711e-14	7,772462415e-14	5,518606676e-14	8,3366751e-12	4,236455614e-14	4,999999912e-15	4,999999912e-15	5,987383847e-14	6,544707137e-11	7,563214638e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,227773382e-09	33,50829468	18,14266083	0	47,99156037	0,5775385926	0,1128655073	0,5954394233
11,005	1785233635,261	28/07/2026_12:13:55,261	1	2	3,23965196e-06	2,693646366e-06	3,187776432e-11	8,641675049e-12	1,046715839e-11	2,109430339e-11	1,251541648e-10	1,610548916e-10	1,669579731e-12	8,551688004e-14	5,511098522e-12	7,430154582e-13	4,525172216e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,548726401e-12	1,408698055e-13	8,374732656e-14	5,894250203e-14	1,6628385e-14	5,313692888e-11	7,18543558e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,438441442e-08	17,85826507	50,5625008	0	30,12032415	2,145250367	0,02173297545	0,01250883451
11,813	1785233636,069	28/07/2026_12:13:56,069	1	2	3,155537343e-06	2,957717015e-06	3,846312505e-11	8,453186935e-12	1,045396495e-11	2,148057773e-11	1,288901486e-10	1,651373621e-10	1,896408811e-12	1,357008445e-13	4,891940585e-12	5,928049935e-13	4,999999912e-15	1,729584866e-14	6,106906972e-14	1,030106447e-13	7,646223064e-12	1,045628834e-13	4,999999912e-15	4,999999912e-15	3,741290318e-14	4,422590072e-11	7,183869472e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,629581695e-08	15,03584413	52,54587255	0	30,42562524	2,61675522	0,05882135151	0,01189503799
12,621	1785233636,877	28/07/2026_12:13:56,877	1	2	3,193064686e-06	2,923901548e-06	2,1869246e-11	8,761154996e-12	1,134136968e-11	2,292922623e-11	1,363790331e-10	1,730212779e-10	1,830939046e-12	6,110399459e-14	4,372175798e-12	7,197202361e-13	7,637805861e-14	1,674092011e-14	4,999999912e-15	4,999999912e-15	7,522108804e-12	1,216103769e-13	6,262519122e-14	9,115540218e-14	4,45260487e-14	4,129622339e-11	7,228837667e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,910579464e-08	13,93537731	54,98784137	0	30,37608631	1,477412971	0,01362977927	0
13,429	1785233637,685	28/07/2026_12:13:57,685	1	2	3,204191898e-06	2,842137292e-06	1,717629164e-11	8,826877597e-12	1,139287362e-11	2,315318597e-11	1,378042958e-10	1,757720913e-10	2,011790474e-12	1,603077751e-13	4,19307861e-12	6,131898374e-13	4,999999912e-15	4,999999912e-15	4,016424915e-14	8,766284817e-14	7,647701049e-12	1,634433013e-13	4,999999912e-15	4,999999912e-15	8,312249408e-15	3,988614994e-11	7,265676255e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,468996686e-08	13,42523621	55,61597551	0	30,47718116	1,157495357	0,06673258469	0
14,237	1785233638,493	28/07/2026_12:13:58,493	1	2	3,195655154e-06	2,851955742e-06	1,545213263e-11	8,809329134e-12	1,153084312e-11	2,342702074e-11	1,392188864e-10	1,771208735e-10	1,862860994e-12	4,999999912e-15	4,033749029e-12	7,053386738e-13	6,820549849e-14	6,072369712e-14	4,999999912e-15	4,999999912e-15	7,518545682e-12	9,049569227e-14	2,405974725e-14	6,954042919e-14	1,070736449e-13	3,917860134e-11	7,223633497e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,710094997e-08	13,19643455	56,1794245	0	30,32079207	1,042255406	0	0,02860491649
15,045	1785233639,301	28/07/2026_12:13:59,301	1	2	3,202144626e-06	2,826928267e-06	1,474237225e-11	8,890060563e-12	1,154790326e-11	2,347622964e-11	1,397066213e-10	1,770828484e-10	2,005403222e-12	1,682319784e-13	4,065647125e-12	6,584299078e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	6,656012005e-14	7,679592205e-12	1,930368029e-13	3,141737359e-14	4,999999912e-15	4,999999912e-15	3,843469293e-11	7,242598882e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,777597339e-08	12,96269339	56,3109952	0	30,4189518	0,9954115523	0,06728897851	0
15,853	1785233640,109	28/07/2026_12:14:00,109	1	2	3,212449428e-06	2,799966978e-06	1,392380742e-11	8,817707849e-12	1,163808373e-11	2,364746766e-11	1,404490413e-10	1,777279157e-10	1,924884731e-12	1,624808584e-14	3,870573133e-12	6,491592203e-13	6,017652739e-14	6,582669116e-14	3,909708928e-14	4,999999912e-15	7,511232088e-12	7,569894147e-14	2,289168035e-14	3,12427425e-14	8,603688373e-14	3,810523078e-11	7,203462826e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,128615632e-08	12,86685055	56,66266588	0	30,29556075	0,9416290078	0	0
16,661	1785233640,917	28/07/2026_12:14:00,917	1	2	3,207725968e-06	2,826928267e-06	1,359106491e-11	8,962511289e-12	1,170350709e-11	2,359163212e-11	1,407708117e-10	1,788659498e-10	1,973186371e-12	1,57048067e-13	3,975438902e-12	7,112914858e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	2,82430363e-14	7,645962856e-12	2,058505411e-13	8,670045611e-14	4,999999912e-15	4,999999912e-15	3,75942992e-11	7,208556668e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,269041844e-08	12,67139941	56,81126036	0	30,27188049	0,9171090075	0,05797180234	0
17,469	1785233641,725	28/07/2026_12:14:01,725	1	2	3,213908712e-06	2,837784223e-06	1,300539624e-11	8,812464647e-12	1,165334756e-11	2,374139947e-11	1,416201045e-10	1,799834864e-10	1,989539393e-12	3,348185038e-14	3,771186488e-12	6,381421541e-13	3,459946292e-14	6,55511615e-14	9,619242252e-14	5,17051747e-14	7,529583727e-12	6,052189999e-14	4,999999912e-15	1,83009261e-14	7,905567206e-14	3,726858058e-11	7,237388466e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,989096456e-08	12,52567929	57,02265846	0	30,31424378	0,8754510667	0,01070784981	0,01208502875
