PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\23-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 23-007-2026 12'36'27.isi
23/07/2026 12:36:27
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
397 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
2,092	1784802989,160	23/07/2026_12:36:29,160	1	2	3,273884204e-06	2,802116796e-06	2,44063051e-11	9,07933017e-12	1,202581177e-11	2,450779163e-11	1,452092474e-10	1,831855639e-10	2,03176408e-12	3,576753151e-14	3,764128332e-12	6,378199835e-13	9,751959778e-15	4,843382504e-14	7,783328154e-14	2,130064076e-14	8,131452976e-12	5,206606495e-14	4,999999912e-15	1,142838198e-14	1,271635385e-13	3,739110063e-11	7,311175276e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,304351997e-08	12,26138132	56,82487319	0	29,8550107	1,603039288	0,0112444314	0
2,9	1784802989,968	23/07/2026_12:36:29,968	1	2	3,252766874e-06	2,880520924e-06	2,339836484e-11	9,24826795e-12	1,213542287e-11	2,462387586e-11	1,450567166e-10	1,846765518e-10	1,99513908e-12	1,264572621e-13	3,918770256e-12	7,532214869e-13	1,851436485e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	8,207397435e-12	2,060562279e-13	9,677839313e-14	2,35746752e-14	2,050123478e-14	3,718332933e-11	7,352527615e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,022974324e-08	12,15358862	56,8661116	0	29,95268122	1,531161754	0,04078805726	0
3,708	1784802990,776	23/07/2026_12:36:30,776	1	2	3,254156354e-06	2,821517228e-06	2,249830357e-11	9,11086831e-12	1,20394042e-11	2,452003357e-11	1,45145132e-10	1,842933167e-10	2,114339736e-12	1,029757199e-13	3,767663265e-12	6,406722483e-13	4,999999912e-15	4,957860701e-14	9,124077633e-14	9,586645713e-14	8,163332857e-12	8,795001945e-14	4,999999912e-15	4,999999912e-15	1,325614423e-13	3,717977315e-11	7,291529186e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,581780567e-08	12,18598162	56,99550723	0	29,78558814	1,476887592	0,04355860467	0,03752033715
4,516	1784802991,584	23/07/2026_12:36:31,584	1	2	3,250597729e-06	2,802116796e-06	2,173327837e-11	9,203749742e-12	1,219239033e-11	2,468779695e-11	1,453285825e-10	1,839661617e-10	2,011825819e-12	9,651451188e-14	3,871814761e-12	7,691009288e-13	7,555925558e-14	1,309704112e-14	4,999999912e-15	4,999999912e-15	8,146021184e-12	2,034639818e-13	1,067282723e-13	7,403805216e-14	9,98984085e-14	3,698138323e-11	7,369171939e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,720360165e-08	12,11860991	56,92286183	0	30,07411514	1,425943703	0,03156975436	0
5,324	1784802992,392	23/07/2026_12:36:32,392	1	2	3,260904577e-06	2,80748759e-06	2,119408295e-11	9,16627451e-12	1,217718894e-11	2,495917188e-11	1,480347095e-10	1,890608364e-10	2,202048873e-12	1,613167472e-13	3,602699302e-12	5,552756605e-13	4,999999912e-15	4,803412374e-14	6,672311629e-14	9,199361921e-14	7,337034626e-12	1,396474353e-13	4,999999912e-15	4,999999912e-15	9,77989933e-14	3,490730968e-11	6,998269325e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,884681007e-08	11,51546282	58,81868861	0	28,81172463	1,40006295	0,06919086361	0,07828412816
6,132	1784802993,200	23/07/2026_12:36:33,200	1	2	3,23435188e-06	2,908254601e-06	2,034149585e-11	8,916949644e-12	1,185037658e-11	2,388841555e-11	1,39626033e-10	1,762512636e-10	1,852821932e-12	6,616042214e-14	3,761768674e-12	6,940422629e-13	7,733656787e-14	4,728516705e-14	4,999999912e-15	4,999999912e-15	7,282377826e-12	1,123551393e-13	7,379745415e-14	8,835748295e-14	1,288709807e-13	7,28496638e-11	6,359976434e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,11025229e-08	22,51355772	51,92526476	0	24,62265211	1,264928565	0,01181902361	0,02651786572
6,94	1784802994,008	23/07/2026_12:36:34,008	1	2	2,859521146e-06	2,466353408e-06	1,771119883e-11	6,513698868e-12	5,434922911e-12	1,028918617e-11	5,614490123e-11	7,119525802e-11	7,369074426e-13	2,256299937e-13	1,437897024e-11	5,772438192e-13	4,999999912e-15	4,999999912e-15	3,616335001e-14	6,751863608e-14	7,243563388e-12	1,473970007e-13	4,999999912e-15	4,999999912e-15	3,03890146e-14	1,738627853e-10	6,821736925e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,247961087e-08	53,62189458	19,83028339	0	26,16311517	1,095934517	0,07759032939	0
7,748	1784802994,816	23/07/2026_12:36:34,816	1	2	2,6569478e-06	1,891034117e-06	1,40347586e-11	5,457301711e-12	1,489802856e-12	2,878748889e-12	1,586402711e-11	2,733167165e-11	1,600283762e-13	8,992912887e-14	1,941201713e-11	6,758383458e-13	8,157806841e-14	1,032784088e-13	3,013677497e-14	4,999999912e-15	7,347481998e-12	7,27302875e-14	5,46622006e-14	9,303361304e-14	1,403459326e-13	1,938169208e-10	6,986967949e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,605412176e-08	64,59255141	6,095623382	0	29,0143436	0,9368876064	0,02882177402	0,0272716199
8,556	1784802995,624	23/07/2026_12:36:35,624	1	2	2,678157443e-06	1,764293756e-06	8,857840676e-12	5,437553185e-12	8,525882366e-13	1,523637878e-12	9,031365066e-12	1,977232093e-11	1,92481854e-13	2,511876341e-13	2,055749147e-11	6,64580641e-13	4,999999912e-15	4,999999912e-15	2,452929996e-14	7,860940767e-14	7,547608372e-12	1,721474932e-13	4,477052951e-14	4,999999912e-15	4,999999912e-15	1,993743365e-10	6,998477492e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,721923781e-08	67,07862661	3,516738266	0	29,35244488	0,5967805323	0,1033208371	0
9,364	1784802996,432	23/07/2026_12:36:36,432	1	2	2,672631808e-06	1,710359356e-06	6,858005917e-12	5,219475026e-12	5,917456195e-13	1,153967655e-12	6,439707274e-12	1,669220318e-11	7,804671351e-14	1,003369073e-13	2,074380077e-11	6,614723417e-13	5,544607538e-14	8,841569783e-14	6,836073591e-14	2,086213011e-14	7,334854946e-12	3,762634193e-14	2,024123124e-14	6,084787893e-14	1,181566509e-13	2,02223932e-10	7,059672291e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,47235607e-08	68,10752116	2,463463766	0	29,63443391	0,462544838	0,03780985107	0,03977562675
