PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\27-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 27-007-2026 12'53'27.isi
27/07/2026 12:53:27
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
17926 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
1,815	1785149609,183	27/07/2026_12:53:29,183	1	2	2,554369985e-06	1,552292701e-06	5,994796673e-13	4,807079214e-12	2,098359464e-13	3,867914832e-13	2,107544824e-12	1,118371975e-11	4,999999912e-15	2,924812221e-14	1,953385023e-11	5,851990984e-13	3,182483709e-14	7,733657464e-14	3,163857116e-14	4,999999912e-15	6,858475593e-12	3,216633367e-14	4,999999912e-15	4,104515664e-14	8,838853857e-14	1,884742917e-10	6,459714014e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,533732499e-08	69,84020622	0,8953825819	0	29,84769452	0,04448136756	0,009866059736	0,04697433074
2,623	1785149609,991	27/07/2026_12:53:29,991	1	2	2,569104026e-06	1,565437287e-06	7,336825917e-13	4,960809975e-12	2,504076861e-13	2,822596757e-13	1,898050076e-12	1,102361865e-11	5,662578222e-14	1,701567625e-13	1,980702581e-11	6,315140468e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,456003219e-14	7,021130639e-12	1,68821825e-13	5,600488674e-14	4,999999912e-15	4,999999912e-15	1,884213202e-10	6,424732968e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,762411686e-08	69,90002226	0,8338056432	0	29,72572167	0,05449362931	0,07539873939	0,001813645939
3,431	1785149610,799	27/07/2026_12:53:30,799	1	2	2,577652822e-06	1,565437287e-06	5,942213952e-13	4,690851874e-12	1,79214079e-13	3,739893866e-13	2,045148556e-12	1,084035205e-11	6,462759066e-14	7,207835674e-14	2,027295345e-11	5,77736589e-13	2,125795708e-14	7,502761704e-14	1,019124292e-13	3,646992512e-14	7,116462801e-12	9,398828355e-15	4,999999912e-15	3,01057329e-14	9,992556099e-14	2,002722294e-10	6,952775855e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,756918192e-08	69,87288693	0,6285044684	0	30,21766277	0,04152260265	0,03312756114	0,01709535859
4,239	1785149611,607	27/07/2026_12:53:31,607	1	2	2,689485655e-06	1,58901446e-06	7,706531268e-13	5,701644452e-12	1,328839165e-12	3,524392583e-12	2,831165857e-11	5,462403793e-11	6,519687134e-13	1,321229367e-13	1,429251075e-11	8,014806809e-13	1,558063066e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	8,088666022e-12	1,731021468e-13	9,999154824e-14	5,894639499e-15	4,999999912e-15	5,747434473e-11	7,224589677e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9,155098304e-09	30,8415035	21,12607975	0	48,06983576	0,08170011525	0,1073142959	0,6175302047
5,047	1785149612,415	27/07/2026_12:53:32,415	1	2	3,1977047e-06	2,477723456e-06	4,019056789e-12	8,438646483e-12	1,048839834e-11	2,142915533e-11	1,269426786e-10	1,623273183e-10	1,827756913e-12	3,853440868e-14	4,686551928e-12	5,74088845e-13	4,999999912e-15	2,940722549e-14	6,681624926e-14	6,656789242e-14	7,354467729e-12	4,449501341e-14	4,999999912e-15	4,999999912e-15	2,391229237e-14	4,205846435e-11	6,843972611e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,590331088e-08	15,09739172	54,64942532	0	30,60953207	0,2886735017	0,01795693874	0,001567157881
5,855	1785149613,223	27/07/2026_12:53:33,223	1	2	3,131083076e-06	2,551938451e-06	4,572601412e-12	8,522545517e-12	1,092873708e-11	2,210865171e-11	1,311791925e-10	1,663272298e-10	1,731859556e-12	4,718039246e-14	4,2156942e-12	6,960794788e-13	3,404842733e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,360801205e-12	1,333919141e-13	6,996730669e-14	4,761502201e-14	1,905377237e-14	3,866118536e-11	6,841827799e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,125887803e-08	13,82992048	56,06525802	0	30,47378082	0,3273700813	0,00608659097	0
6,663	1785149614,031	27/07/2026_12:53:34,031	1	2	3,127173841e-06	2,559776021e-06	4,774498071e-12	8,491029928e-12	1,094819894e-11	2,224022876e-11	1,329202581e-10	1,68621464e-10	1,895461869e-12	1,148076859e-13	3,894609461e-12	5,549303421e-13	4,999999912e-15	6,647479842e-15	5,048279096e-14	7,652939968e-14	7,397710049e-12	8,01306043e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	3,718658714e-11	6,872927227e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,43133926e-08	13,24001104	56,59382656	0	30,48193868	0,3403578713	0,0477754864	0
7,471	1785149614,839	27/07/2026_12:53:34,839	1	2	3,130043979e-06	2,593349791e-06	4,818492393e-12	8,584028453e-12	1,118209345e-11	2,268372296e-11	1,339119787e-10	1,692996993e-10	1,769656795e-12	1,584063081e-14	3,777837852e-12	6,81721281e-13	6,905148111e-14	3,57714177e-14	4,999999912e-15	4,999999912e-15	7,309529718e-12	1,039769196e-13	4,809621803e-14	7,392551876e-14	5,464667618e-14	3,592743811e-11	6,869360636e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,424521751e-08	12,82088571	57,05000139	0	30,52322325	0,3442642671	0	0
8,279	1785149615,647	27/07/2026_12:53:35,647	1	2	3,130840241e-06	2,607302349e-06	5,026849596e-12	8,632568618e-12	1,116806213e-11	2,26273774e-11	1,344567929e-10	1,710323827e-10	1,934644285e-12	1,415101218e-13	3,749805154e-12	5,961617918e-13	4,999999912e-15	4,999999912e-15	2,124243266e-14	7,681268815e-14	7,450582686e-12	1,622480768e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	3,535886514e-11	6,858774659e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,763100607e-08	12,56991777	57,27797441	0	30,38504651	0,3577523968	0,05990707713	0
9,087	1785149616,455	27/07/2026_12:53:36,455	1	2	3,159336984e-06	2,556832669e-06	4,939004067e-12	8,58166576e-12	1,125052829e-11	2,280197212e-11	1,349494128e-10	1,709016123e-10	1,790670043e-12	4,999999912e-15	3,610114378e-12	6,605138528e-13	5,094845579e-14	7,075506766e-14	3,579858035e-14	4,999999912e-15	7,289067787e-12	8,565658626e-14	3,145230522e-14	5,992041173e-14	8,519091465e-14	3,4872185e-11	6,899895932e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,475649323e-08	12,40809874	57,3959655	0	30,58034804	0,3519010213	0	0
