PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\27-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 27-007-2026 12'47'41.isi
27/07/2026 12:47:41
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
359 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
1,805	1785149263,427	27/07/2026_12:47:43,427	1	2	3,156876119e-06	2,551938451e-06	6,209564547e-12	8,800380563e-12	1,158173384e-11	2,345206841e-11	1,391281534e-10	1,762835572e-10	1,882535794e-12	7,623835238e-14	3,518846672e-12	7,358479603e-13	4,528665379e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,431970837e-12	1,588486558e-13	8,53965878e-14	5,674219504e-14	4,999999912e-15	3,366379051e-11	7,003678887e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,267358432e-08	11,749847	58,08865312	0	30,45263952	0,433954914	0,02121092283	0
2,613	1785149264,235	27/07/2026_12:47:44,235	1	2	3,156071443e-06	2,584421736e-06	6,247378049e-12	8,689255045e-12	1,150378057e-11	2,337510741e-11	1,389129367e-10	1,760660229e-10	2,008857056e-12	9,457032732e-14	3,416849052e-12	5,81477466e-13	4,999999912e-15	4,999999912e-15	4,986576473e-14	9,854407058e-14	7,445754083e-12	7,969986433e-14	4,999999912e-15	4,999999912e-15	2,071466845e-14	3,357059422e-11	7,00831268e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,677609856e-08	11,72242354	58,04328917	0	30,49097929	0,4368999548	0,04157499768	0
3,421	1785149265,043	27/07/2026_12:47:45,043	1	2	3,163814881e-06	2,578483645e-06	6,219177083e-12	8,822333489e-12	1,166656789e-11	2,364124348e-11	1,40760445e-10	1,778377584e-10	1,891899398e-12	2,366780816e-14	3,383371057e-12	6,693693993e-13	7,414670278e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	6,56298323e-12	1,151258993e-13	6,197714325e-14	6,005234558e-14	4,664098494e-14	3,098887466e-11	6,547504899e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,844182146e-08	11,07207821	60,17744818	0	29,1445664	0,4447150015	0	0
4,229	1785149265,851	27/07/2026_12:47:45,851	1	2	3,182059118e-06	2,648602731e-06	6,401535118e-12	8,506390037e-12	1,122405467e-11	2,272542224e-11	1,350129453e-10	1,695127233e-10	1,905962801e-12	1,19798133e-13	3,348973442e-12	5,472855784e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,307566011e-14	6,795074486e-12	9,576944137e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	5,89691837e-11	6,020417498e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,353275106e-08	19,90475996	54,66164848	0	25,43045023	0,434582546	0,04583581153	0
5,037	1785149266,659	27/07/2026_12:47:46,659	1	2	2,809819307e-06	2,302815801e-06	4,54468841e-12	6,341454705e-12	5,84407002e-12	1,105538144e-11	6,024560018e-11	7,532344193e-11	5,986258581e-13	1,684569978e-14	1,282172372e-11	5,711512535e-13	5,624159179e-14	5,860100545e-14	4,999999912e-15	4,999999912e-15	6,606515248e-12	4,487919368e-14	2,383079424e-14	6,061892253e-14	8,43371732e-14	1,607199374e-10	6,367434358e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,025163413e-08	52,29114796	22,49612067	0	25,75731596	0,2967445118	0	0
5,845	1785149267,467	27/07/2026_12:47:47,467	1	2	2,56152066e-06	1,680470064e-06	2,618092809e-12	5,301390403e-12	1,489845573e-12	2,828545341e-12	1,631074442e-11	2,764537731e-11	2,498371789e-13	1,958502398e-13	1,820023993e-11	5,910199088e-13	4,999999912e-15	4,999999912e-15	1,501405879e-14	4,574843922e-14	7,06237846e-12	1,382310065e-13	2,171974081e-14	4,999999912e-15	4,999999912e-15	1,797548083e-10	6,608988357e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,908492634e-08	64,21480446	6,784633034	0	29,42493919	0,1873212574	0,08258264881	0
6,653	1785149268,275	27/07/2026_12:47:48,275	1	2	2,596405466e-06	1,597563369e-06	1,755698018e-12	5,078333587e-12	8,757166541e-13	1,705141453e-12	9,590467309e-12	1,998531722e-11	9,366614336e-14	5,960996399e-14	1,898478943e-11	6,07023546e-13	6,408041415e-14	8,900942049e-14	5,762309575e-14	4,999999912e-15	6,941768774e-12	3,315976779e-14	8,913746985e-15	5,979622993e-14	1,088781233e-13	1,857679149e-10	6,648535195e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,037666018e-08	66,76280552	4,001284189	0	29,78428966	0,1263637957	0,02052645728	0,03841909198
7,461	1785149269,083	27/07/2026_12:47:49,083	1	2	2,603663233e-06	1,584756092e-06	1,648108191e-12	5,145386287e-12	6,643905261e-13	1,146423668e-12	6,775939185e-12	1,673142701e-11	1,391429561e-13	1,93626636e-13	1,951469021e-11	6,740455091e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	3,601200894e-14	7,092115523e-12	1,665244955e-13	9,263778438e-14	4,999999912e-15	4,999999912e-15	1,879630618e-10	6,662870256e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,462980091e-08	67,73771996	2,819648882	0	29,93417407	0,1189287232	0,08463085874	0
8,269	1785149269,891	27/07/2026_12:47:49,891	1	2	2,590476242e-06	1,546355747e-06	1,393657108e-12	4,955260161e-12	4,85704196e-13	9,466890162e-13	5,420979204e-12	1,516579744e-11	1,252736792e-13	8,382881113e-14	1,953365247e-11	5,834333667e-13	4,322216684e-14	6,985863575e-14	9,519122957e-14	5,107651701e-14	7,001131012e-12	1,39468896e-14	4,999999912e-15	2,571288451e-14	9,190046592e-14	1,903507768e-10	6,613094794e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,884422787e-08	68,5584461	2,257486166	0	29,6955463	0,1005203626	0,03983304182	0,03904395497
9,077	1785149270,699	27/07/2026_12:47:50,699	1	2	2,589253427e-06	1,539848199e-06	1,385344747e-12	5,083188211e-12	5,15763376e-13	7,799549851e-13	4,404547907e-12	1,396603146e-11	5,617562825e-14	1,610761221e-13	1,979946415e-11	7,080239715e-13	4,692426325e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,039152247e-12	1,54463573e-13	1,063130297e-13	4,186395628e-14	4,999999912e-15	1,89893351e-10	6,640205746e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,343347178e-08	68,73917898	1,829166072	0	29,96804091	0,1004100965	0,06629481307	0
