Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
5;0.00;104.98;0.00;105.00;0.00;0.00;58.99;17.22;34.17;179.87;468.13;179.98;489.95;482.38;80.41;0.05
10;0.00;105.08;0.00;103.51;0.00;0.00;58.99;17.22;34.17;179.90;468.80;179.98;488.92;481.52;80.41;0.05
15;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.20;34.17;179.90;469.07;179.97;486.83;479.66;80.41;0.05
20;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.20;34.17;179.90;469.28;179.97;485.74;478.72;80.41;0.05
25;0.00;105.07;0.00;104.99;0.00;0.00;59.01;17.20;34.18;179.89;469.44;179.96;484.67;477.74;80.41;0.05
30;0.00;104.97;0.00;104.97;0.00;0.00;59.00;17.22;34.18;179.89;469.61;179.95;483.57;476.75;80.41;0.05
35;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.22;34.18;179.89;469.63;179.94;481.37;474.78;80.41;0.05
40;0.00;105.05;0.00;105.60;0.00;0.00;59.03;17.27;34.18;179.88;469.61;179.94;480.27;473.80;80.41;0.05
45;0.00;105.01;0.00;104.99;0.00;0.00;58.99;17.22;34.18;179.88;469.54;179.93;479.19;472.80;80.41;0.05
50;0.00;104.98;0.00;104.97;0.00;0.00;58.99;17.20;34.18;179.89;469.30;179.93;478.09;471.79;80.41;0.05
55;0.00;105.14;0.00;104.53;0.00;0.00;59.04;17.22;34.19;179.90;469.14;179.95;475.91;469.80;80.41;0.05
60;0.00;104.95;0.00;104.99;0.00;0.00;59.01;17.22;34.19;179.91;468.93;179.96;474.83;468.80;80.41;0.05
65;0.00;104.98;0.00;104.99;0.00;0.00;59.01;17.23;34.20;179.91;468.70;179.98;473.77;467.81;80.41;0.05
70;0.00;105.00;0.00;104.99;0.00;0.00;58.98;17.25;34.19;179.90;468.13;180.00;472.70;466.84;80.41;0.05
75;0.00;105.00;0.00;104.98;0.00;0.00;59.01;17.20;34.19;179.89;467.81;180.00;470.60;464.87;80.41;0.05
80;0.00;104.99;0.00;104.98;0.00;0.00;59.02;17.23;34.19;179.88;467.46;180.00;469.54;463.92;80.41;0.05
85;0.00;105.04;0.00;105.28;0.00;0.00;59.03;17.23;34.19;179.88;467.12;179.99;468.52;462.96;80.41;0.04
90;0.00;104.98;0.00;104.99;0.00;0.00;59.02;17.19;34.20;179.90;466.31;180.00;466.49;462.00;80.41;0.04
95;0.00;105.00;0.00;105.01;0.00;0.00;58.99;17.22;34.20;179.90;465.88;179.99;465.47;460.11;80.41;0.04
100;0.00;105.00;0.00;103.76;0.00;0.00;58.99;17.20;34.21;179.90;465.43;179.98;464.46;459.19;80.41;0.04
105;0.00;104.99;0.00;105.00;0.00;0.00;59.00;17.23;34.20;179.89;464.50;179.97;463.48;458.26;80.41;0.04
110;0.00;104.98;0.00;104.99;0.00;0.00;59.02;17.23;34.20;179.88;463.99;179.94;461.52;457.33;80.41;0.04
115;0.00;104.98;0.00;105.01;0.00;0.00;59.08;17.28;34.20;179.87;463.48;179.94;460.55;455.52;80.41;0.04
120;0.00;105.01;0.00;105.01;0.00;0.00;58.99;17.19;34.20;179.88;462.95;179.93;459.62;454.64;80.41;0.04
125;0.00;104.99;0.00;104.98;0.00;0.00;58.99;17.20;34.21;179.91;461.92;179.92;458.76;453.81;80.41;0.04
130;0.00;105.03;0.00;103.76;0.00;0.00;59.02;17.23;34.21;179.91;461.39;179.92;457.76;453.12;80.41;0.04
135;0.00;104.98;0.00;104.99;0.00;0.00;58.99;17.22;34.21;179.90;460.88;179.92;457.78;452.55;80.41;0.04
140;0.00;105.00;0.00;105.00;0.00;0.00;59.01;17.20;34.21;179.89;460.40;179.91;458.27;452.79;80.41;0.04
145;0.00;104.99;0.00;104.99;0.00;0.00;59.03;17.23;34.22;179.88;459.57;179.92;459.24;453.45;80.41;0.04
150;0.00;104.99;0.00;104.99;0.00;0.00;59.02;17.22;34.22;179.88;459.24;179.94;462.66;456.10;80.41;0.04
155;0.00;105.00;0.00;104.99;0.00;0.00;59.01;17.19;34.21;179.89;458.98;179.97;465.04;458.09;80.41;0.04
160;0.00;105.12;0.00;104.43;0.00;0.00;59.02;17.25;34.22;179.89;458.81;179.98;467.90;460.48;80.41;0.04
165;0.00;105.00;0.00;104.99;0.00;0.00;59.02;17.19;34.22;179.89;458.78;180.00;471.09;463.20;80.41;0.04
170;0.00;104.99;0.00;105.01;0.00;0.00;58.99;17.23;34.22;179.90;458.92;180.00;477.94;469.20;80.41;0.04
175;0.00;105.00;0.00;105.01;0.00;0.00;59.01;17.22;34.22;179.90;459.16;180.02;481.44;472.35;80.41;0.04
180;0.00;105.00;0.00;104.99;0.00;0.00;58.98;17.22;34.22;179.89;459.51;180.02;484.71;475.34;80.41;0.04
