Catalyst_ID,Time_s,Time_min,TIR-1 (°C),X_CH4,X_CO2,Y_H2,Y_CO,Y_H2O,S_H2,S_CO,H2_CO_Ratio,Carbon_Balance_%
Catalyst_02,1.825,0.030416666666666665,454.75,0.3786173471601928,0.0,0.23716200091776293,0.0,0.071067106425634,62.63896852497317,-0.0,0.0,100.33908608764153
Catalyst_02,2.633,0.04388333333333334,454.75,2.8170270092748084,0.0,0.23305235929770143,0.0,0.07592489444445202,8.27298987657546,-0.0,0.0,100.03780871870494
Catalyst_02,3.441,0.05735,454.75,0.5968096743246831,0.0,0.23449203518678208,0.0,0.07397810227920966,39.2909239368681,-0.0,0.0,101.12088567539166
Catalyst_02,4.249,0.07081666666666667,454.75,0.0,0.0,0.2380510123611014,0.0,0.07454603149229332,0.0,-0.0,0.0,102.20969640471394
Catalyst_02,5.057,0.08428333333333334,454.75,0.0,0.0,0.24129612699837566,0.0,0.07272783560223739,0.0,-0.0,0.0,103.28014585542155
Catalyst_02,5.865,0.09775,454.75,0.0,0.0,0.24499003707788405,0.0,0.07284461017803182,0.0,-0.0,0.0,104.3150252598048
Catalyst_02,6.673,0.11121666666666667,454.75,0.0,0.0,0.24826332941272505,0.0,0.07115054947621713,0.0,-0.0,0.0,105.31427432838763
Catalyst_02,7.481,0.12468333333333333,454.75,0.0,0.0,0.25177322018895354,0.0,0.07053242664333838,0.0,-0.0,0.0,106.27644444008683
Catalyst_02,8.289,0.13815,454.38,0.0,0.0,0.25513971817214615,0.0,0.0702200109714427,0.0,-0.0,0.0,107.20115790424956
Catalyst_02,9.097,0.15161666666666665,454.38,0.0,0.0,0.25843729328536885,0.0,0.06925215178491675,0.0,-0.0,0.0,108.0914842182725
Catalyst_02,9.905,0.16508333333333333,454.38,0.0,0.0,0.26181117729221587,0.0,0.06969391081301471,0.0,-0.0,0.0,108.94462417587059
Catalyst_02,10.713,0.17855,454.38,0.0,0.0,0.2648990552893576,0.0,0.06824195433774358,0.0,-0.0,0.0,109.76843783122882
Catalyst_02,11.521,0.19201666666666667,454.38,0.0,0.0,0.26820778102877024,0.0,0.06905086428685914,0.0,-0.0,0.0,110.55802563190942
Catalyst_02,12.329,0.20548333333333335,454.38,0.0,0.0,0.27108448028426924,0.0,0.06766984700112195,0.0,-0.0,0.0,111.32379305549078
Catalyst_02,13.137,0.21895,454.38,0.0,0.0,0.27424531076252867,0.0,0.06845008726180139,0.0,-0.0,0.0,112.05440083227853
Catalyst_02,13.945,0.23241666666666666,454.38,0.0,0.0,0.27692782773864644,0.0,0.06713373942984367,0.0,-0.0,0.0,112.7608292500578
Catalyst_02,14.753,0.24588333333333334,454.38,0.0,0.0,0.2798436127598466,0.0,0.06760226686334027,0.0,-0.0,0.0,113.43945332960692
Catalyst_02,15.561,0.25935,454.38,0.0,0.0,0.28240939106852997,0.0,0.06655086891558733,0.0,-0.0,0.0,114.09514878925413
Catalyst_02,16.369,0.27281666666666665,454.38,0.0,0.0,0.28515973007403606,0.0,0.06625877497104758,0.0,-0.0,0.0,114.7501625837559
Catalyst_02,17.177,0.28628333333333333,454.38,0.0,0.0,0.2871810396677569,0.0,0.06617009269659692,0.0,-0.0,0.0,115.00754392910686
Catalyst_02,17.985,0.29975,454.83,0.0,0.0,0.28669906933128114,0.0,0.06564178056792616,0.0,-0.0,0.0,114.35975366838171
Catalyst_02,18.793,0.31321666666666664,454.83,0.0,0.0,0.28438704436642037,0.0,0.06702638275814396,0.0,-0.0,0.0,113.43239037996527
Catalyst_02,19.601,0.3266833333333333,454.83,0.0,0.0,0.28124791547179906,0.0,0.06659407317999431,0.0,-0.0,0.0,112.46913329771535
Catalyst_02,20.409,0.34015,454.83,0.0,0.0,0.2782307172882226,0.0,0.0682881235512435,0.0,-0.0,0.0,111.51396351994225
Catalyst_02,21.217,0.35361666666666663,454.83,0.0,0.0,0.27482331013253286,0.0,0.06784624404315608,0.0,-0.0,0.0,110.57832375667758
Catalyst_02,22.025,0.3670833333333333,454.83,0.0,0.0,0.27175016166717,0.0,0.06927952247349188,0.0,-0.0,0.0,109.65381019561431
Catalyst_02,22.833,0.38055,457.14,0.0,0.0,0.26839945688532846,0.0,0.06896186985036805,0.0,-0.0,0.0,108.7567452991484
Catalyst_02,23.641,0.3940166666666666,457.14,0.0,0.0,0.26530539876852877,0.0,0.06960795004557135,0.0,-0.0,0.0,107.88110272840137
Catalyst_02,24.449,0.40748333333333336,457.14,0.0,0.0,0.26213128330975727,0.0,0.06984765411265745,0.0,-0.0,0.0,107.02820747118487
Catalyst_02,25.257,0.42095000000000005,457.14,0.0,0.0,0.2590948255381783,0.0,0.07005114215579532,0.0,-0.0,0.0,106.19886555713485
Catalyst_02,26.065,0.4344166666666667,457.14,0.0,0.0,0.25618366626992856,0.0,0.07104386303001015,0.0,-0.0,0.0,105.39003244920981
Catalyst_02,26.873,0.44788333333333336,457.14,0.0,0.0,0.2531236810035542,0.0,0.07084199595555118,0.0,-0.0,0.0,104.61083521830936
Catalyst_02,27.681,0.46135000000000004,459.03,0.0,0.0,0.2503635604629739,0.0,0.07221921576988187,0.0,-0.0,0.0,103.84839199010003
Catalyst_02,28.489,0.47481666666666666,459.03,0.0,0.0,0.24739105373275702,0.0,0.07162521813416187,0.0,-0.0,0.0,103.11224582555202
Catalyst_02,29.297,0.48828333333333335,459.03,0.0,0.0,0.24474382536862435,0.0,0.07276147106573605,0.0,-0.0,0.0,102.3910380771318
Catalyst_02,30.105,0.50175,459.03,0.0,0.0,0.24185630338376302,0.0,0.07220241642743429,0.0,-0.0,0.0,101.68988516376115
Catalyst_02,30.913,0.5152166666666667,459.03,0.0,0.0,0.23929140198119273,0.0,0.07296302676238661,0.0,-0.0,0.0,101.00798338401222
Catalyst_02,31.721,0.5286833333333333,459.03,0.26760533321453783,0.0,0.23654570558739535,0.0,0.07281837810420252,88.3934945338919,-0.0,0.0,100.3319867923387
Catalyst_02,32.529,0.54215,461.35,0.5178756525374695,0.0,0.23660979917864675,0.0,0.07416262530757478,45.68853507966874,-0.0,0.0,100.00400553851414
Catalyst_02,33.337,0.5556166666666668,461.35,0.5581453432225714,0.0,0.2357210045659009,0.0,0.07416878698001902,42.23290715011854,0.0,0.0,99.98477545861196
Catalyst_02,34.145,0.5690833333333334,461.35,0.5679333447334733,0.0,0.2355697754638202,0.0,0.07394924042550821,41.47841954487969,0.0,0.0,99.9825409294744
Catalyst_02,34.953,0.58255,461.35,0.575066574030747,0.0,0.2354698993640881,0.0,0.07441246158495557,40.946546017034976,0.0,0.0,99.9795322430165
Catalyst_02,35.761,0.5960166666666668,461.35,0.5763208956669819,0.0,0.23523858135453346,0.0,0.07348903483137591,40.817291742006,0.0,0.0,99.98231370473682
Catalyst_02,36.569,0.6094833333333334,461.35,0.580010195509506,0.0,0.23527662810745734,0.0,0.07485000375543496,40.56422282383834,0.0,0.0,99.97996860432572
Catalyst_02,37.377,0.62295,461.35,0.5910653508828467,0.0,0.23493397798201596,0.0,0.07364794754360264,39.74754697278485,0.0,0.0,99.98155082368308
Catalyst_02,38.185,0.6364166666666667,465.75,0.6001435765977114,0.0,0.23506010406525052,0.0,0.07515433322800619,39.16731149533138,0.0,0.0,99.97711439857311
Catalyst_02,38.993,0.6498833333333334,465.75,0.5957119064867511,0.0,0.2346392928934493,0.0,0.07363234437180165,39.38804820559111,0.0,0.0,99.98050502751595
Catalyst_02,39.801,0.66335,465.75,0.5897544621339179,0.0,0.23473032206800937,0.0,0.07470771993856153,39.801364320106906,0.0,0.0,99.97918878315099
Catalyst_02,40.609,0.6768166666666667,465.75,0.5907918970604165,0.0,0.2344578995362139,0.0,0.07392932502154848,39.68536141114954,0.0,0.0,99.98047717099712
Catalyst_02,41.417,0.6902833333333334,465.75,0.6064192287123071,0.0,0.23445054482939712,0.0,0.07447656031770636,38.661462850912244,0.0,0.0,99.98136919735849
Catalyst_02,42.225,0.70375,465.75,0.602069211012457,0.0,0.23432884968910336,0.0,0.0746208135087227,38.92058344837975,0.0,0.0,99.98082250227101
Catalyst_02,43.033,0.7172166666666667,468.87,0.5970781620794452,0.0,0.23419480750241337,0.0,0.07428765374919308,39.223475647942266,0.0,0.0,99.98219239971931
Catalyst_02,43.841,0.7306833333333334,468.87,0.5999539424027089,0.0,0.23414810008503256,0.0,0.07525852067143987,39.027679216059354,0.0,0.0,99.97948393108402
Catalyst_02,44.649,0.74415,468.87,0.5962864244675958,0.0,0.23383231534952967,0.0,0.07402575516983612,39.21476420636423,0.0,0.0,99.97880273118199
Catalyst_02,45.457,0.7576166666666667,468.87,0.5982778896920449,0.0,0.23388783686106093,0.0,0.07542864330186201,39.09351170932455,0.0,0.0,99.97549648761903
Catalyst_02,46.265,0.7710833333333333,468.87,0.5773466363864665,0.0,0.23369866660943556,0.0,0.07378140098538968,40.478051118843545,0.0,0.0,99.98224934736974
Catalyst_02,47.073,0.78455,468.87,0.2256478050220445,0.0,0.2345415448295366,0.0,0.0748740829945927,100.0,-0.0,0.0,100.22506044729582
Catalyst_02,47.881,0.7980166666666667,472.26,0.0,0.0,0.23501500706251455,0.0,0.07317641596216826,0.0,-0.0,0.0,100.42092050438387
Catalyst_02,48.689,0.8114833333333333,472.26,0.0,0.0,0.23550299517795048,0.0,0.07447397256760281,0.0,-0.0,0.0,100.46074766188262
Catalyst_02,49.497,0.82495,472.26,0.0,0.0,0.2355018289767132,0.0,0.07405892864847767,0.0,-0.0,0.0,100.47910051486897
Catalyst_02,50.305,0.8384166666666667,472.26,0.0,0.0,0.23563084751561733,0.0,0.0741950630395235,0.0,-0.0,0.0,100.49044372549372
Catalyst_02,51.113,0.8518833333333333,472.26,0.0,0.0,0.2356824814560623,0.0,0.07487902716765106,0.0,-0.0,0.0,100.49764598891943
Catalyst_02,51.921,0.86535,472.26,0.0,0.0,0.23562660769418145,0.0,0.07380391170788882,0.0,-0.0,0.0,100.49681053302615
Catalyst_02,52.729,0.8788166666666667,479.22,0.0,0.0,0.23581222065479945,0.0,0.07498376066247164,0.0,-0.0,0.0,100.50309331928527
Catalyst_02,53.537,0.8922833333333333,479.22,0.0,0.0,0.2355472362614242,0.0,0.07329992414860542,0.0,-0.0,0.0,100.5357283270538
Catalyst_02,54.345,0.9057499999999999,479.22,0.0,0.0,0.23576814852658812,0.0,0.07500195455786615,0.0,-0.0,0.0,100.561262996641
Catalyst_02,55.153,0.9192166666666667,479.22,0.0,0.0,0.2354903176834008,0.0,0.07318764613547638,0.0,-0.0,0.0,100.58963766434724
Catalyst_02,55.961,0.9326833333333333,479.22,0.0,0.0,0.235694401457093,0.0,0.07442142944970725,0.0,-0.0,0.0,100.61668558153663
Catalyst_02,56.769,0.9461499999999999,479.22,0.0,0.0,0.2354911554395458,0.0,0.07322728901117576,0.0,-0.0,0.0,100.64369684574932
Catalyst_02,57.577,0.9596166666666667,482.42,0.0,0.0,0.23563585061012307,0.0,0.07381645296637868,0.0,-0.0,0.0,100.65809580340452
Catalyst_02,58.385,0.9730833333333333,482.42,0.0,0.0,0.23555455773282577,0.0,0.07387284209276249,0.0,-0.0,0.0,100.66698319271356
Catalyst_02,59.193,0.9865499999999999,482.42,0.0,0.0,0.2355623910944982,0.0,0.07368934102911893,0.0,-0.0,0.0,100.66872448761413
Catalyst_02,60.001,1.0000166666666666,482.42,0.0,0.0,0.23567434465482412,0.0,0.07468070312754702,0.0,-0.0,0.0,100.67765134070396
Catalyst_02,60.809,1.0134833333333333,482.42,0.0,0.0,0.2355243302855625,0.0,0.07345431334581333,0.0,-0.0,0.0,100.67251068015277
Catalyst_02,61.617,1.02695,482.42,0.0,0.0,0.23572583801693783,0.0,0.07461232097808407,0.0,-0.0,0.0,100.65015876931452
Catalyst_02,62.425,1.0404166666666665,482.42,0.0,0.0,0.23512950010859848,0.0,0.07162781318297688,0.0,-0.0,0.0,100.32980311357056
Catalyst_02,63.233,1.0538833333333333,485.28,0.0,0.0,0.2342659414572814,0.0,0.07275457117573572,0.0,-0.0,0.0,100.29583309405284
Catalyst_02,64.041,1.06735,485.28,0.0,0.0,0.23383784312664638,0.0,0.07144787832705253,0.0,-0.0,0.0,100.2883757376546
Catalyst_02,64.849,1.0808166666666668,485.28,0.0,0.0,0.23390294727104194,0.0,0.07211461026041545,0.0,-0.0,0.0,100.28149531076143
Catalyst_02,65.657,1.0942833333333333,485.28,0.0,0.0,0.23360591062365305,0.0,0.07148415288816637,0.0,-0.0,0.0,100.27589856056052
Catalyst_02,66.465,1.10775,485.28,0.0,0.0,0.23364173565245697,0.0,0.07183746576080464,0.0,-0.0,0.0,100.2731994383161
Catalyst_02,67.273,1.1212166666666665,485.28,0.0,0.0,0.23351036876981912,0.0,0.07237868317678525,0.0,-0.0,0.0,100.26836448774958
Catalyst_02,68.081,1.1346833333333335,489.49,0.0,0.0,0.23337094754760207,0.0,0.0716155247793794,0.0,-0.0,0.0,100.26855482208322
Catalyst_02,68.889,1.14815,489.49,0.0,0.0,0.2333937935720354,0.0,0.07270471515777416,0.0,-0.0,0.0,100.26337880405352
Catalyst_02,69.697,1.1616166666666667,489.49,0.0,0.0,0.23310693245256384,0.0,0.07148829858878063,0.0,-0.0,0.0,100.26450693584408
Catalyst_02,70.505,1.1750833333333333,489.49,0.0,0.0,0.23318696491788585,0.0,0.07286626564050852,0.0,-0.0,0.0,100.25793332111992
Catalyst_02,71.313,1.18855,489.49,0.0,0.0,0.2328038037208941,0.0,0.071408447507476,0.0,-0.0,0.0,100.2598793784798
Catalyst_02,72.121,1.2020166666666665,489.49,0.0,0.0,0.2328857993107066,0.0,0.0725115112699851,0.0,-0.0,0.0,100.25417065945446
Catalyst_02,72.929,1.2154833333333335,490.74,0.0,0.0,0.23255633704934528,0.0,0.07119786079845392,0.0,-0.0,0.0,100.25333737034299
Catalyst_02,73.737,1.22895,490.74,0.0,0.0,0.23261157093899254,0.0,0.07189218693331906,0.0,-0.0,0.0,100.25426585902761
Catalyst_02,74.545,1.2424166666666667,490.74,0.0,0.0,0.23235549500751373,0.0,0.07133946321185129,0.0,-0.0,0.0,100.25451862379857
Catalyst_02,75.353,1.2558833333333332,490.74,0.0,0.0,0.23232015460055744,0.0,0.07155092662095042,0.0,-0.0,0.0,100.25589561596497
Catalyst_02,76.161,1.26935,490.74,0.0,0.0,0.2324315088912172,0.0,0.07224729366469711,0.0,-0.0,0.0,100.25208942830477
Catalyst_02,76.969,1.2828166666666665,490.74,0.0,0.0,0.23288089970723586,0.0,0.07141901572413209,0.0,-0.0,0.0,100.42824092797495
Catalyst_02,77.777,1.2962833333333335,491.48,0.0,0.0,0.23351885024468036,0.0,0.07240931122612417,0.0,-0.0,0.0,100.57543777918609
Catalyst_02,78.585,1.30975,491.48,0.0,0.0,0.23344870635861217,0.0,0.07089268629095727,0.0,-0.0,0.0,100.60232821411968
Catalyst_02,79.393,1.3232166666666667,491.48,0.0,0.0,0.2337039134021142,0.0,0.07257931582076922,0.0,-0.0,0.0,100.61605354532072
Catalyst_02,80.201,1.3366833333333332,491.48,0.0,0.0,0.23345779151918872,0.0,0.07088870505070653,0.0,-0.0,0.0,100.62057791107858
Catalyst_02,81.009,1.35015,491.48,0.0,0.0,0.23371742864012826,0.0,0.07214065312256952,0.0,-0.0,0.0,100.62385868726179
Catalyst_02,81.817,1.3636166666666665,491.48,0.0,0.0,0.23352230381686445,0.0,0.07127546475939069,0.0,-0.0,0.0,100.63708080715124
Catalyst_02,82.625,1.3770833333333334,491.81,0.0,0.0,0.23366068501640647,0.0,0.07206849642212107,0.0,-0.0,0.0,100.64145824962975
Catalyst_02,83.433,1.3905500000000002,491.81,0.0,0.0,0.23361449308641435,0.0,0.07238126561559494,0.0,-0.0,0.0,100.64096364267228
Catalyst_02,84.241,1.4040166666666667,491.81,0.0,0.0,0.2336400820982184,0.0,0.07220819404511365,0.0,-0.0,0.0,100.64370531221792
Catalyst_02,85.049,1.4174833333333334,491.81,0.0,0.0,0.23370238251831402,0.0,0.07320681813569135,0.0,-0.0,0.0,100.64844850181656
Catalyst_02,85.857,1.43095,491.81,0.0,0.0,0.23351998824720543,0.0,0.07204219917716402,0.0,-0.0,0.0,100.65154497128712
Catalyst_02,86.665,1.4444166666666667,491.81,0.0,0.0,0.23374358552047841,0.0,0.07353788907723284,0.0,-0.0,0.0,100.64390392518811
Catalyst_02,87.473,1.4578833333333334,491.81,0.0,0.0,0.23347225032584032,0.0,0.07165054201239769,0.0,-0.0,0.0,100.64703186858407
Catalyst_02,88.281,1.4713500000000002,491.56,0.0,0.0,0.23372582071132167,0.0,0.07318199104359979,0.0,-0.0,0.0,100.64687921684616
Catalyst_02,89.089,1.4848166666666667,491.56,0.0,0.0,0.2334740328548112,0.0,0.07184388028097101,0.0,-0.0,0.0,100.64245279519129
Catalyst_02,89.897,1.4982833333333334,491.56,0.0,0.0,0.23368885052679553,0.0,0.07292708049719362,0.0,-0.0,0.0,100.64450317249809
Catalyst_02,90.705,1.51175,491.56,0.0,0.0,0.23353191637529733,0.0,0.0723472022493881,0.0,-0.0,0.0,100.6397058134701
Catalyst_02,91.513,1.5252166666666667,491.56,0.0,0.0,0.23366349687537594,0.0,0.07251896495008994,0.0,-0.0,0.0,100.62102695064029
Catalyst_02,92.321,1.5386833333333334,491.56,0.0,0.26815739884747947,0.23349771915281864,0.0,0.07246278974409617,0.0,-0.0,0.0,100.37335251896602
Catalyst_02,93.129,1.5521500000000001,491.11,0.0,0.16154791611235897,0.23203302094464154,0.0,0.07201628805036085,0.0,-0.0,0.0,100.31835027729781
Catalyst_02,93.937,1.5656166666666667,491.11,0.0,0.1659580355600654,0.23199438640806735,0.0,0.07295172653254044,0.0,-0.0,0.0,100.30633959281954
Catalyst_02,94.745,1.5790833333333334,491.11,0.0,0.16891929679269113,0.2316752418532363,0.0,0.07190483032298486,0.0,-0.0,0.0,100.30403621339377
Catalyst_02,95.553,1.59255,491.11,0.0,0.17086930677816525,0.2317479246009503,0.0,0.07326748136184134,0.0,-0.0,0.0,100.29900647545725
Catalyst_02,96.361,1.6060166666666666,491.11,0.0,0.1704692816030473,0.2314145061991616,0.0,0.07188938906160987,0.0,-0.0,0.0,100.2987728997606
Catalyst_02,97.169,1.6194833333333334,491.11,0.0,0.1768548085475663,0.2315183120776707,0.0,0.07288898843688324,0.0,-0.0,0.0,100.29634666502616
Catalyst_02,97.977,1.6329500000000001,490.51,0.0,0.1747106009365007,0.2311626137698524,0.0,0.07138260275247969,0.0,-0.0,0.0,100.29663298529606
Catalyst_02,98.785,1.6464166666666666,490.51,0.0,0.17779613586897947,0.23127746758920997,0.0,0.07212015039214072,0.0,-0.0,0.0,100.29144054972564
Catalyst_02,99.593,1.6598833333333334,490.51,0.0,0.18010980490196227,0.2310868154503955,0.0,0.07158007302001845,0.0,-0.0,0.0,100.29058197665867
